Date,State,Region,Confirmed,Deaths,Recovered
2020-04-29,Unknown,Afghanistan,1939,60,252
2020-04-29,Unknown,Albania,766,30,455
2020-04-29,Unknown,Algeria,3848,444,1702
2020-04-29,Unknown,Andorra,743,42,423
2020-04-29,Unknown,Angola,27,2,7
2020-04-29,Unknown,Antigua and Barbuda,24,3,11
2020-04-29,Unknown,Argentina,4285,214,1192
2020-04-29,Unknown,Armenia,1932,30,900
2020-04-29,Unknown,Austria,15402,580,12779
2020-04-29,Unknown,Azerbaijan,1766,23,1267
2020-04-29,Unknown,Bahamas,80,11,23
2020-04-29,Unknown,Bahrain,2921,8,1455
2020-04-29,Unknown,Bangladesh,7103,163,150
2020-04-29,Unknown,Barbados,80,7,39
2020-04-29,Unknown,Belarus,13181,84,2072
2020-04-29,Unknown,Belgium,47859,7501,11283
2020-04-29,Unknown,Belize,18,2,9
2020-04-29,Unknown,Benin,64,1,33
2020-04-29,Unknown,Bhutan,7,0,5
2020-04-29,Unknown,Bolivia,1110,59,117
2020-04-29,Unknown,Bosnia and Herzegovina,1677,65,710
2020-04-29,Unknown,Botswana,23,1,5
2020-04-29,Unknown,Brazil,79685,5513,34132
2020-04-29,Unknown,Brunei,138,1,124
2020-04-29,Unknown,Bulgaria,1447,64,243
2020-04-29,Unknown,Burkina Faso,641,43,498
2020-04-29,Unknown,Burma,150,6,27
2020-04-29,Unknown,Burundi,11,1,4
2020-04-29,Unknown,Cabo Verde,114,1,2
2020-04-29,Unknown,Cambodia,122,0,119
2020-04-29,Unknown,Cameroon,1832,61,934
2020-04-29,Unknown,Central African Republic,50,0,10
2020-04-29,Unknown,Chad,52,2,19
2020-04-29,Unknown,Chile,14885,216,8057
2020-04-29,Unknown,Colombia,6207,278,1411
2020-04-29,Unknown,Congo (Brazzaville),207,8,19
2020-04-29,Unknown,Congo (Kinshasa),491,30,59
2020-04-29,Unknown,Costa Rica,713,6,323
2020-04-29,Unknown,Croatia,2062,67,1288
2020-04-29,Unknown,Cuba,1467,58,617
2020-04-29,Unknown,Cyprus,843,15,148
2020-04-29,Unknown,Czech Republic,7579,227,3108
2020-04-29,Unknown,Denmark,9008,443,6366
2020-04-29,Unknown,Diamond Princess,712,13,645
2020-04-29,Unknown,Djibouti,1077,2,599
2020-04-29,Unknown,Dominica,16,0,13
